Dataset,Model,accuracy,accuracy_std,f1_weighted,f1_weighted_std,auc,auc_std,dpd,dpd_std,eod,eod_std,aod,aod_std,best_threshold,best_thr_acc,best_thr_f1,best_thr_dpd
adult,AE-NS (Ours),0.7600696043809817,0.0361636586609279,0.7647777836351338,0.027295233718708317,0.7842762092197849,0.01786985467039974,0.06729498856339199,0.025240982136036854,0.0580596480085769,0.06633292329001125,0.039418974271183606,0.039535980157851314,"{'mean': 0.5833333333333334, 'std': 0.11785113019775792, 'values': [0.75, 0.5, 0.5]}",,,
adult,Adversarial Debiasing,0.4867700496443012,0.19566707735372135,0.48135774285695526,0.12723361797120622,0.22301227619460318,0.005926747712179543,0.30503279357890745,0.21597513840092777,0.249093321539142,0.1919106073052043,0.2566731808614548,0.18517313817829648,,,,
adult,Prejudice Remover,0.8433901427913404,0.0023819184765280052,0.8308982334056022,0.003279948139523688,0.8910375525336526,0.004651692107443518,0.04416330721751627,0.006705766967672146,0.2572978658265868,0.014869720860635207,0.13254579334772842,0.0083189157031267,,,,
adult,LAFAN (Lagrangian w/o AE),0.7919033727416961,0.01080558327070715,0.73202114947421,0.024629102763111612,0.8545886124925198,0.00913135288947505,0.018809152381461785,0.008117042322499582,0.27456667054602746,0.04398985401588595,0.1433485636611256,0.0248801407173584,,,,
adult,Standard NN (No Fairness),0.8530631045601105,0.003178913998315081,0.8463906289157607,0.004075226786423317,0.9061943710750225,0.0031647371765215174,0.16363129916315713,0.0046300704692095315,0.05685443619799776,0.028359975648519813,0.062298532108559436,0.011286774920847073,,,,
adult,XGBoost (No Fairness),0.8705665591893137,0.003825147027187639,0.8660068042673262,0.003982011200042227,0.9258179687446262,0.004766229791349257,0.17146925468055094,0.004508446909224196,0.047863337458102194,0.008109712324187258,0.056044441042048816,0.0026591184105177173,,,,
adult,Fairlearn-DP + XGBoost,0.8525513076411281,0.0011305963475292742,0.8419281152372129,0.0012798602405208268,0.9245227261784391,0.004094907435629107,0.012558436393677644,0.005471354740644899,0.3161628951985613,0.020168355720643752,0.1802924578885922,0.009629452785603421,,,,
adult,Fairlearn-EO + XGBoost,0.8657556681508778,0.0011236244638978396,0.8600618265530229,0.0020615986826859932,0.9245227261784391,0.004094907435629107,0.12750806385741786,0.006156999360839971,0.03750581438636521,0.003706082322310965,0.03403511996527275,0.0022696369814229245,,,,
compas,AE-NS (Ours),0.6253156565656566,0.032477363931545385,0.6166728919286669,0.03341955612603784,0.6810259289787624,0.0051238119619265166,0.12192364719557769,0.030628360588025934,0.13267277203273972,0.007073201358937722,0.09643609858359407,0.024376616203163556,"{'mean': 0.20000000000000004, 'std': 0.21213203435596423, 'values': [0.5, 0.05, 0.05]}",,,
compas,Adversarial Debiasing,0.554608585858586,0.037324970743128655,0.49783156442520865,0.0700376619304605,0.6620720146760107,0.020996330190223487,0.1378144055426257,0.06498388236710347,0.11191694105353485,0.06722878711895923,0.12074731385213007,0.058866725598853024,,,,
compas,Prejudice Remover,0.6717171717171717,0.00979044344650936,0.6638479569698165,0.009987559470303591,0.7164027696291044,0.011935952963112085,0.19724599257149475,0.008816523537606306,0.20555646991703677,0.012710992563341747,0.16408607407148743,0.007220819762477767,,,,
compas,LAFAN (Lagrangian w/o AE),0.6527777777777778,0.01579544949898583,0.6339899369966321,0.02574616307941399,0.6915632135088408,0.007727594059094087,0.15149954349866587,0.029931361453665668,0.17185979975053553,0.02944425741120157,0.12394881067133241,0.028811345713774084,,,,
compas,Standard NN (No Fairness),0.6726641414141414,0.012233473721638934,0.6686772793327286,0.01145015106334775,0.7244750554609709,0.00857469295277258,0.21600872514090194,0.016968460954989332,0.2186753142338346,0.00859278727546814,0.18172491436228863,0.01815211051021985,,,,
compas,XGBoost (No Fairness),0.6644570707070708,0.00793548301134881,0.6620319156331772,0.007369536179003454,0.7049326369667018,0.006534868730122393,0.20737544231362734,0.014933879776008602,0.2311628684801703,0.014790901370317541,0.17650693944162119,0.01593290293621452,,,,
compas,Fairlearn-DP + XGBoost,0.6246843434343434,0.004258439887383868,0.6192959815356619,0.005418171487489132,0.7104739348434075,0.009148364087775779,0.09536207125959338,0.027504888034174377,0.1133541406925821,0.03258004519605313,0.0718308279834034,0.02656438353692868,,,,
compas,Fairlearn-EO + XGBoost,0.6291035353535354,0.0070158177938424654,0.6241779409785898,0.006276868916755104,0.7104739348434075,0.009148364087775779,0.11731698646320456,0.009359061898503735,0.12378461882817361,0.013016884652101416,0.09197709190070229,0.009321737729811467,,,,
credit,AE-NS (Ours),0.7925555555555555,0.02265699684805643,0.786851344681637,0.011915838908885241,0.6823659708675055,0.05630953586829186,0.024914464955806,0.008121993770053642,0.030031619175004038,0.02459413624706318,0.02191768300318962,0.01109496121783058,"{'mean': 0.45, 'std': 0.0, 'values': [0.45, 0.45, 0.45]}",,,
credit,Adversarial Debiasing,0.7787777777777779,7.85674201318823e-05,0.6819717433515979,3.868006487345229e-05,0.47198889783178855,0.015834379983801813,9.264406151565684e-05,0.00013101848826876922,0.0,0.0,5.885122410546139e-05,8.322819929220192e-05,,,,
credit,Prejudice Remover,0.8212777777777779,0.0023147407395555345,0.7954032159797267,0.0016366580960919007,0.7738283435232397,0.004612102219385271,0.012426402935336247,0.009567680475738692,0.023657955411713893,0.014688379190875997,0.015684184830876812,0.007951629028304591,,,,
credit,LAFAN (Lagrangian w/o AE),0.7913333333333333,0.0037292636548529627,0.7185680280455763,0.009832737179605828,0.7197494862849766,0.013397908608329425,0.008724408781162976,0.003922166801385289,0.017588723702221254,0.012621123338481463,0.010785020912367669,0.007058710087730493,,,,
credit,Standard NN (No Fairness),0.8209444444444444,0.00260460181549579,0.797884202482335,0.0022774290740111783,0.7756128202155187,0.00419384612142059,0.016996767945708882,0.005392756615313773,0.020589865892995867,0.011886541032674145,0.01574585847397793,0.006127544851768648,,,,
credit,XGBoost (No Fairness),0.8196111111111111,0.005095992131319423,0.7979179285135108,0.0052698522923063556,0.7751824106943247,0.001140097703316481,0.01915773028231196,0.0035558420417486783,0.016412848846069916,0.0030171536682719784,0.01535700319658199,0.0028087850715765557,,,,
credit,Fairlearn-DP + XGBoost,0.8201666666666667,0.0037589399608971663,0.7981043791870622,0.004135549585229759,0.7773302923532618,0.00377779013275171,0.015987541479308975,0.007443697273314951,0.021686635288768758,0.011444706710380144,0.015732353026421453,0.004956935065787368,,,,
credit,Fairlearn-EO + XGBoost,0.8202777777777778,0.004993205259693623,0.7990253670293285,0.004737935946346815,0.7773302923532618,0.00377779013275171,0.016196081827247476,0.007024212146128333,0.021941224263307413,0.012903341422800047,0.016160811564934957,0.006758623500714609,,,,
